CANONICAL_SMILES,REFERENCE_ID,NAME,DOI,LINK,ORGANISM,ORGANISM_PART,COCONUT_ID,MOL_FILENAME,STRUCTURAL_COMMENTS,GEO_LOCATION,LOCATION
C/C=C1/C(=O)O[C@]23C=C[C@@H]4C(C(=O)OC)=CO[C@H](O[C@@H]12)[C@@H]43,329,Apocynaceae,10.1111/bph.12558,http://www.inflamnat.com/#/main/search/detail?id=329,Apocynaceae,,,,,,
C[C@]1(OC(=O)/C=C/C2=CC=CC=C2)C[C@@H](O)[C@]2(O)C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]21,174,Pedaliaceae,10.2478/s11535-013-0124-2,http://www.inflamnat.com/#/main/search/detail?id=174,Pedaliaceae,,,,,,
COC1=CC2=C(C=C1OC)C1=C(OC)C(OC)=CC3=C1[C@H](C2)N(C)CC3,161,Papaveraceae  ,10.1016/j.fitote.2009.05.016,http://www.inflamnat.com/#/main/search/detail?id=161,Papaveraceae  ,,,,,,
COC1=C(OC)C=C2C(=C1)C(=O)C1=NC=CC3=CC(OC)=C(OC)C2=C13,162,Papaveraceae  ,10.1016/j.fitote.2009.05.016,http://www.inflamnat.com/#/main/search/detail?id=162,Papaveraceae  ,,,,,,
CC1=C(C)N=C(C)C(C)=N1,435,Umbelliferae,10.1002/iub.1348,http://www.inflamnat.com/#/main/search/detail?id=435,Umbelliferae,,,,,,
CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3,163,Fungi,10.1046/j.1365-2249.2000.01184.x,http://www.inflamnat.com/#/main/search/detail?id=163,Fungi,,,,,,
CCCCCCCC1=CC(=O)C2=CC=CC=C2N1,337,Marine,10.3390/md15110336,http://www.inflamnat.com/#/main/search/detail?id=337,Marine,,,,,,
COC1=CC(C2=CC3=CC(O)=C(OC)C(CC=C(C)C)=C3O2)=CC(O)=C1,104,Papilionaceae  ,10.1016/j.phytochem.2017.05.007,http://www.inflamnat.com/#/main/search/detail?id=104,Papilionaceae  ,,,,,,
COC1=C(O)C=C2C(C)=C(C3=CC=CC=C3)OC2=C1,7,Leguminosae,10.1016/j.ejphar.2013.12.041,http://www.inflamnat.com/#/main/search/detail?id=7,Leguminosae,,,,,,
COC1=C(O)C=C2C(C3=CC=CC=C3)=C(C)OC2=C1,8,Leguminosae,10.1016/j.ejphar.2013.12.041,http://www.inflamnat.com/#/main/search/detail?id=8,Leguminosae,,,,,,
